mode,path,run,time,stats
hyper,/hot/data/github_daily/2017-10-15.json,1,6.64757,"{""input"":{""input_file_count"":1,""total_input_row_count"":910100,""normal"":910100,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":26107,""except"":0},""timings"":{""fast_path_execution_time"":4.96001,""general_and_interpreter_time"":9.722e-06,""compile_time"":0.0698573,""hyperspecialization_time"":1.51638},""hyper_active"":true}"
hyper,/hot/data/github_daily/2018-10-15.json,1,12.4297,"{""input"":{""input_file_count"":1,""total_input_row_count"":1522655,""normal"":1522655,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":44404,""except"":0},""timings"":{""fast_path_execution_time"":10.7961,""general_and_interpreter_time"":1.0834e-05,""compile_time"":0.0491367,""hyperspecialization_time"":1.47841},""hyper_active"":true}"
hyper,/hot/data/github_daily/2019-10-15.json,1,18.1027,"{""input"":{""input_file_count"":1,""total_input_row_count"":2134789,""normal"":2134789,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":61337,""except"":0},""timings"":{""fast_path_execution_time"":16.5075,""general_and_interpreter_time"":1.1559e-05,""compile_time"":0.049912,""hyperspecialization_time"":1.44303},""hyper_active"":true}"
hyper,/hot/data/github_daily/2020-10-15.json,1,27.2712,"{""input"":{""input_file_count"":1,""total_input_row_count"":2963694,""normal"":2963694,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":62354,""except"":0},""timings"":{""fast_path_execution_time"":25.69,""general_and_interpreter_time"":8.77e-06,""compile_time"":0.0496629,""hyperspecialization_time"":1.42872},""hyper_active"":true}"
hyper,/hot/data/github_daily/2021-10-15.json,1,9.50623,"{""input"":{""input_file_count"":1,""total_input_row_count"":1078139,""normal"":1078139,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":21313,""except"":0},""timings"":{""fast_path_execution_time"":7.79237,""general_and_interpreter_time"":1.0477e-05,""compile_time"":0.0494226,""hyperspecialization_time"":1.55855},""hyper_active"":true}"
global,/hot/data/github_daily/2011-10-15.json,1,1.35603,"{""input"":{""input_file_count"":1,""total_input_row_count"":48899,""normal"":0,""general"":47481,""fallback"":1418,""unresolved"":0},""output"":{""normal"":1418,""except"":0},""timings"":{""fast_path_execution_time"":0.452382,""general_and_interpreter_time"":0.757198,""compile_time"":0.0487064},""hyper_active"":false}"
global,/hot/data/github_daily/2012-10-15.json,1,22.8015,"{""input"":{""input_file_count"":1,""total_input_row_count"":165692,""normal"":0,""general"":8139,""fallback"":157553,""unresolved"":0},""output"":{""normal"":5907,""except"":0},""timings"":{""fast_path_execution_time"":1.15588,""general_and_interpreter_time"":21.5008,""compile_time"":0.0473995},""hyper_active"":false}"
global,/hot/data/github_daily/2013-10-15.json,1,35.8087,"{""input"":{""input_file_count"":1,""total_input_row_count"":296456,""normal"":0,""general"":10725,""fallback"":285731,""unresolved"":0},""output"":{""normal"":10628,""except"":0},""timings"":{""fast_path_execution_time"":2.41808,""general_and_interpreter_time"":33.2422,""compile_time"":0.0466576},""hyper_active"":false}"
global,/hot/data/github_daily/2014-10-15.json,1,99.4553,"{""input"":{""input_file_count"":1,""total_input_row_count"":476393,""normal"":0,""general"":637,""fallback"":475756,""unresolved"":0},""output"":{""normal"":16014,""except"":0},""timings"":{""fast_path_execution_time"":10.8005,""general_and_interpreter_time"":88.5054,""compile_time"":0.046638},""hyper_active"":false}"
global,/hot/data/github_daily/2015-10-15.json,1,24.0965,"{""input"":{""input_file_count"":1,""total_input_row_count"":737714,""normal"":0,""general"":712413,""fallback"":25301,""unresolved"":0},""output"":{""normal"":25301,""except"":0},""timings"":{""fast_path_execution_time"":8.96112,""general_and_interpreter_time"":14.978,""compile_time"":0.0493828},""hyper_active"":false}"
global,/hot/data/github_daily/2016-10-15.json,1,18.2612,"{""input"":{""input_file_count"":1,""total_input_row_count"":678134,""normal"":0,""general"":658722,""fallback"":19412,""unresolved"":0},""output"":{""normal"":19412,""except"":0},""timings"":{""fast_path_execution_time"":6.20615,""general_and_interpreter_time"":11.9024,""compile_time"":0.0480604},""hyper_active"":false}"
global,/hot/data/github_daily/2017-10-15.json,1,25.527,"{""input"":{""input_file_count"":1,""total_input_row_count"":910100,""normal"":0,""general"":883993,""fallback"":26107,""unresolved"":0},""output"":{""normal"":26107,""except"":0},""timings"":{""fast_path_execution_time"":8.60449,""general_and_interpreter_time"":16.7651,""compile_time"":0.0502047},""hyper_active"":false}"
